# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000*********************************************
    8.865479132   -1.885500956   -1.884441259   -1.886576365
    8.915560935   -1.886502477   -1.887322648   -1.889489688
    8.965642738   -1.832665600   -1.832433747   -1.835784282
    9.015724541   -1.789295126   -1.787388290   -1.792192396
    9.065806344   -1.845520160   -1.844674456   -1.848989392
    9.115888147   -1.878352582   -1.881149136   -1.881671079
    9.165969950   -1.864227340   -1.869318608   -1.864652695
    9.216051753   -1.850095768   -1.854669318   -1.849200709
    9.266133556   -1.810996339   -1.814480611   -1.810104605
    9.316215359   -1.796917333   -1.801283782   -1.796868490
    9.366297162   -1.795790777   -1.800884802   -1.796446231
    9.416378965   -1.733789849   -1.737943226   -1.734468783
    9.466460768   -1.667047793   -1.670190039   -1.667616442
    9.516542571   -1.612195309   -1.615819967   -1.612779279
    9.566624374   -1.542003174   -1.547652061   -1.542744394
    9.616706177   -1.472513260   -1.478334963   -1.473248126
    9.666787980   -1.414312001   -1.419482402   -1.414971630
    9.716869783   -1.361182557   -1.365719752   -1.361771530
    9.766951586   -1.322920485   -1.326941663   -1.323452505
    9.817033389   -1.299927458   -1.303531812   -1.300413411
    9.867115192   -1.287047809   -1.290308168   -1.287495142
    9.917196995   -1.253556830   -1.256525615   -1.253971659
    9.967278798   -1.212213659   -1.214929229   -1.212601616
   10.017360601   -1.196066367   -1.198553103   -1.196431717
   10.067442404   -1.185568738   -1.187842355   -1.185917389
   10.117524207   -1.208022846   -1.210108251   -1.208375940
   10.167606010   -1.256026965   -1.258055921   -1.256404248
   10.217687813   -1.280159263   -1.282313710   -1.280416554
   10.267769616   -1.268089909   -1.270184733   -1.268271953
   10.317851419   -1.287115168   -1.289063596   -1.287277491
   10.367933222   -1.270317942   -1.272124950   -1.270470415
   10.418015025   -1.235732628   -1.237423654   -1.235887350
   10.468096828   -1.194579584   -1.196154490   -1.194726720
   10.518178631   -1.140614252   -1.142060049   -1.140735987
   10.568260434   -1.118227252   -1.119546088   -1.118320289
   10.618342237   -1.087445910   -1.088709194   -1.087545825
   10.668424040   -1.045599008   -1.047080078   -1.045851465
   10.718505843   -1.014726803   -1.016407641   -1.015122040
   10.768587646   -1.013564292   -1.015197976   -1.013971396
   10.818669449   -1.020700075   -1.022240193   -1.021097567
   10.868751252   -1.008766165   -1.010212330   -1.009148267
   10.918833055   -0.988886763   -0.990174505   -0.989169203
   10.968914858   -0.956967702   -0.958027500   -0.957063667
   11.018996661   -0.932406300   -0.933349849   -0.932452091
   11.069078464   -0.910425080   -0.911301529   -0.910486479
   11.119160267   -0.894740702   -0.895548682   -0.894826568
   11.169242070   -0.873403520   -0.874140841   -0.873507456
   11.219323873   -0.834788859   -0.835512142   -0.834846989
   11.269405676   -0.808717270   -0.809586324   -0.808564867
   11.319487479   -0.805397568   -0.806323831   -0.805110666
   11.369569282   -0.807070542   -0.807925462   -0.806763704
   11.419651085   -0.799515813   -0.800275700   -0.799198148
   11.469732888   -0.778756334   -0.779416464   -0.778412410
   11.519814691   -0.745735037   -0.746286721   -0.745344142
   11.569896494   -0.725848556   -0.726275526   -0.725386280
   11.619978297   -0.720484292   -0.720765196   -0.719924349
   11.670060100   -0.706696219   -0.706835871   -0.706038583
   11.720141903   -0.674856194   -0.675083290   -0.674313422
   11.770223706   -0.659763929   -0.660650194   -0.659873201
   11.820305509   -0.658095769   -0.659282584   -0.658516605
   11.870387312   -0.644965016   -0.646016895   -0.645286050
   11.920469115   -0.622139699   -0.623017766   -0.622322429
   11.970550918   -0.615016279   -0.615938081   -0.615249229
   12.020632721   -0.638804000   -0.640123785   -0.639394642
   12.070714524   -0.648700589   -0.650125655   -0.649395992
   12.120796327   -0.621711334   -0.623035462   -0.622333134
   12.170878130   -0.592471473   -0.593683577   -0.593010089
   12.220959933   -0.572520923   -0.573639745   -0.572993014
   12.271041736   -0.549155047   -0.550197769   -0.549575377
   12.321123539   -0.535415706   -0.536394530   -0.535794472
   12.371205342   -0.531436086   -0.532359230   -0.531780458
   12.421287145   -0.520944432   -0.521817459   -0.521260035
   12.471368948   -0.504015107   -0.504841778   -0.504305914
   12.521450751   -0.481587326   -0.482368606   -0.481855019
   12.571532554   -0.467062737   -0.467798322   -0.467308565
   12.621614357   -0.453780319   -0.454468804   -0.454005226
   12.671696160   -0.441369823   -0.442007129   -0.441573698
   12.721777963   -0.435827219   -0.436405865   -0.436008265
   12.771859766   -0.429581760   -0.430091894   -0.429736801
   12.821941569   -0.423096529   -0.423538904   -0.423226220
   12.872023372   -0.410103225   -0.410574088   -0.410240622
   12.922105175   -0.390187293   -0.390983599   -0.390433130
   12.972186978   -0.365212607   -0.366217019   -0.365527444
   13.022268781   -0.344845416   -0.345819119   -0.345149130
   13.072350584   -0.338005562   -0.338912211   -0.338286191
   13.122432387   -0.328773078   -0.329621813   -0.329033611
   13.172514190   -0.313517464   -0.314319395   -0.313761619
   13.222595993   -0.296979072   -0.297742385   -0.297209776
   13.272677796   -0.286434858   -0.287165615   -0.286654518
   13.322759599   -0.272726861   -0.273429240   -0.272937065
   13.372841402   -0.257049061   -0.257725920   -0.257250941
   13.422923205   -0.239297604   -0.239950797   -0.239492127
   13.473005008   -0.227163868   -0.227794401   -0.227351848
   13.523086811   -0.223125670   -0.223734072   -0.223307542
   13.573168614   -0.221284213   -0.221870988   -0.221460530
   13.623250417   -0.210923992   -0.211488961   -0.211095101
   13.673332220   -0.182289720   -0.182831358   -0.182455372
   13.723414023   -0.158872391   -0.159388119   -0.159032395
   13.773495826   -0.153528048   -0.154013927   -0.153682624
   13.823577629   -0.156500949   -0.156951359   -0.156649842
