# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   18.080530885    2.000237093    2.000237803    2.000237319
   18.130612688    2.054066788    2.054067280    2.054066782
   18.180694491    2.208962589    2.208963400    2.208962445
   18.230776294    2.221761870    2.221763648    2.221762178
   18.280858097    2.122426330    2.122428150    2.122427022
   18.330939900    1.920845767    1.920846403    1.920845760
   18.381021703    1.764734542    1.764733973    1.764733372
   18.431103506    1.692511303    1.692510617    1.692509956
   18.481185309    1.724421259    1.724420906    1.724420243
   18.531267112    1.752992324    1.752992205    1.752991590
   18.581348915    1.750269907    1.750269494    1.750268756
   18.631430718    1.724459708    1.724458847    1.724458246
   18.681512521    1.741930926    1.741929611    1.741929278
   18.731594324    1.737716834    1.737716070    1.737715618
   18.781676127    1.566997005    1.566997082    1.566996381
   18.831757930    1.423201739    1.423202353    1.423201424
   18.881839733    1.499747504    1.499748295    1.499746921
   18.931921536    1.573482344    1.573482670    1.573481493
   18.982003339    1.514067407    1.514066625    1.514066784
   19.032085142    1.363612762    1.363611200    1.363612459
   19.082166945    1.266947002    1.266944889    1.266946721
   19.132248748    1.242037736    1.242035695    1.242037531
   19.182330551    1.275507238    1.275505476    1.275507168
   19.232412354    1.242404162    1.242402916    1.242404400
   19.282494157    1.172656572    1.172655921    1.172656911
   19.332575960    1.122266288    1.122266208    1.122266593
   19.382657763    1.129050977    1.129051045    1.129050884
   19.432739566    1.251606325    1.251606310    1.251605934
   19.482821369    1.430376370    1.430376326    1.430375784
   19.532903172    1.554875760    1.554875465    1.554874927
   19.582984975    1.514899180    1.514898576    1.514898142
   19.633066778    1.324282149    1.324281679    1.324281258
   19.683148581    1.162297369    1.162297267    1.162296728
   19.733230384    1.157141652    1.157141716    1.157141215
   19.783312187    1.247063665    1.247063832    1.247063243
   19.833393990    1.306932779    1.306933043    1.306932352
   19.883475793    1.314749833    1.314750190    1.314749488
   19.933557596    1.338804779    1.338805279    1.338804610
   19.983639399    1.365372175    1.365372808    1.365372522
   20.033721202    1.398211752    1.398212467    1.398212187
   20.083803005    1.495188005    1.495188531    1.495188112
   20.133884808    1.515296831    1.515297013    1.515296865
   20.183966611    1.541348636    1.541348626    1.541348898
   20.234048414    1.459750568    1.459750613    1.459750949
   20.284130217    1.224111836    1.224111884    1.224112069
   20.334212020    1.018655268    1.018655049    1.018655193
   20.384293823    0.984396400    0.984396261    0.984396216
   20.434375626    1.047160693    1.047160833    1.047160510
   20.484457429    1.050873601    1.050874164    1.050873632
   20.534539232    1.023908419    1.023908942    1.023908578
   20.584621035    1.002356005    1.002356327    1.002356026
   20.634702838    0.977734420    0.977734626    0.977734273
   20.684784641    0.988741515    0.988741606    0.988741319
   20.734866444    0.997573862    0.997574051    0.997573872
   20.784948247    0.970044937    0.970045352    0.970045416
   20.835030050    0.949392426    0.949392767    0.949393338
   20.885111853    0.926461342    0.926461492    0.926462203
   20.935193656    0.954620842    0.954620784    0.954621394
   20.985275459    0.927060043    0.927059776    0.927060227
   21.035357262    0.872343054    0.872342633    0.872342939
   21.085439065    0.895714907    0.895714544    0.895714757
   21.135520868    0.919781999    0.919781564    0.919781832
   21.185602671    0.883841901    0.883841365    0.883841507
   21.235684474    0.814478682    0.814478154    0.814478024
   21.285766277    0.741561525    0.741560842    0.741560825
   21.335848080    0.722961067    0.722960205    0.722960397
   21.385929883    0.739343569    0.739342622    0.739343084
   21.436011686    0.750651308    0.750650545    0.750651055
   21.486093489    0.714234981    0.714234641    0.714234927
   21.536175292    0.731747370    0.731747399    0.731747493
   21.586257095    0.781057952    0.781058276    0.781058188
   21.636338898    0.850938218    0.850938801    0.850938621
   21.686420701    0.920107145    0.920107757    0.920107547
   21.736502504    0.994202369    0.994202998    0.994202608
   21.786584307    1.101215452    1.101216138    1.101215435
   21.836666110    1.294170814    1.294171938    1.294171021
   21.886747913    1.462086565    1.462087745    1.462086735
   21.936829716    1.416348513    1.416349066    1.416348373
   21.986911519    1.398001336    1.398001411    1.398001405
   22.036993322    1.499486503    1.499486215    1.499486706
   22.087075125    1.545651003    1.545650191    1.545650832
   22.137156928    1.419797255    1.419795813    1.419796447
   22.187238731    1.259306037    1.259305328    1.259305727
   22.237320534    1.279467979    1.279468218    1.279468408
   22.287402337    1.246736782    1.246737004    1.246737129
   22.337484140    1.157826554    1.157826618    1.157826953
   22.387565943    1.146076197    1.146076529    1.146076897
   22.437647746    1.268970770    1.268971672    1.268971780
   22.487729549    1.397113129    1.397113871    1.397113753
   22.537811352    1.431496865    1.431497498    1.431497397
   22.587893155    1.464538791    1.464538935    1.464538838
   22.637974958    1.482729093    1.482728933    1.482728616
   22.688056761    1.526258769    1.526258789    1.526258310
   22.738138564    1.526756293    1.526756346    1.526755575
   22.788220367    1.397400118    1.397400035    1.397398816
   22.838302170    1.165964146    1.165964212    1.165963231
   22.888383973    1.084968827    1.084968922    1.084968348
   22.938465776    1.081431430    1.081430868    1.081430755
   22.988547579    1.008347690    1.008346417    1.008346614
   23.038629382    0.891419617    0.891418494    0.891418833
   23.088711185    0.891805078    0.891804245    0.891804632
   23.138792988    0.922446575    0.922445769    0.922445860
   23.188874791    0.941885504    0.941884668    0.941884492
   23.238956594    0.965895657    0.965894824    0.965894332
   23.289038397    0.983414475    0.983414002    0.983413259
   23.339120200    0.971627345    0.971627310    0.971626445
   23.389202003    1.018224642    1.018224962    1.018224176
   23.439283806    1.041382473    1.041382761    1.041382045
   23.489365609    1.009159426    1.009159876    1.009159246
   23.539447412    1.027977549    1.027977984    1.027977358
   23.589529215    0.923610132    0.923609822    0.923609295
   23.639611018    0.776119581    0.776118930    0.776118433
   23.689692821    0.719047016    0.719046366    0.719045846
   23.739774624    0.725980962    0.725980305    0.725979866
   23.789856427    0.775119528    0.775118940    0.775118733
   23.839938230    0.824166720    0.824166165    0.824165962
   23.890020033    0.882884296    0.882883740    0.882883326
   23.940101836    0.832967460    0.832967008    0.832966253
   23.990183639    0.777472088    0.777472086    0.777471451
   24.040265442    0.828739874    0.828740039    0.828739797
   24.090347245    0.894772633    0.894772615    0.894772601
   24.140429048    0.914694310    0.914694262    0.914694379
   24.190510851    0.882280334    0.882280308    0.882280376
   24.240592654    0.807678010    0.807677904    0.807677947
   24.290674457    0.742006471    0.742006405    0.742006698
   24.340756260    0.708795375    0.708795296    0.708795613
   24.390838063    0.735823536    0.735823348    0.735823331
   24.440919866    0.737829618    0.737829453    0.737829163
   24.491001669    0.746120397    0.746120300    0.746120074
   24.541083472    0.783974185    0.783974202    0.783974333
   24.591165275    0.851336924    0.851337180    0.851337393
   24.641247078    0.899054157    0.899054514    0.899054701
   24.691328881    0.991363923    0.991364350    0.991364856
   24.741410684    1.034798286    1.034798640    1.034799177
   24.791492487    1.034280185    1.034280087    1.034280464
   24.841574290    0.983275184    0.983274768    0.983275035
   24.891656093    0.920941606    0.920941295    0.920941491
   24.941737896    0.876500338    0.876500111    0.876500241
   24.991819699    0.843694386    0.843694066    0.843694307
   25.041901503    0.847974919    0.847974532    0.847974748
   25.091983306    0.821685507    0.821685494    0.821685259
   25.142065109    0.775828363    0.775828807    0.775828322
   25.192146912    0.755677064    0.755677757    0.755677416
   25.242228715    0.828561465    0.828562311    0.828562287
   25.292310518    0.951196266    0.951197031    0.951197223
   25.342392321    0.912964438    0.912964826    0.912964746
   25.392474124    0.839225028    0.839225357    0.839225076
   25.442555927    0.789059788    0.789059896    0.789059554
   25.492637730    0.714770859    0.714770666    0.714770289
   25.542719533    0.664014643    0.664014436    0.664014127
   25.592801336    0.626635604    0.626635299    0.626635230
   25.642883139    0.651625283    0.651625003    0.651625440
   25.692964942    0.713921418    0.713921185    0.713922002
   25.743046745    0.790532451    0.790531868    0.790532774
   25.793128548    0.834770553    0.834769786    0.834770762
   25.843210351    0.831969809    0.831969090    0.831970046
   25.893292154    0.798870715    0.798870092    0.798871076
   25.943373957    0.793592851    0.793592487    0.793593383
